Metric,Value
Class Imbalance (Sex), 0.35973597359735976
KL Divergence (Sex), 0.19599036903920078
KS (Sex), 0.2956660994895406
CDDL (Sex;cp), 0.2926185350599743
CDDL (Sex;thal), 0.10299208428963914
