Metric,Value
Class Imbalance,0.0005002501250625312
KL Divergence (Sex),0.09679896261470824
KL Divergence (Race),0.0043448953544669155
KS (Sex),0.21866348625667392
KS (Race),0.04659801570508304
CDDL (Sex),0.21328804386488157
CDDL (Race),-0.04287473497634317
