Complexity Measure,Value
F1,0.887790231
F1v,0.071599225
F2,0.01293434
F3,0.751336898
F4,0.423796791
N1,0.156417112
N2,0.438400702
N3,0.102941176
N4,0.005347594
N5,0.867647059
N6,0.982491635
L1,0.031883373
L2,0.034759358
L3,0.024064171
D1,0.022727273
D2,0.018716578
D3,0.823529412
B1,0.002497454
B2,0.006896552
G1,0.873859073
G2,0.331220501
G3,0.77382974
