Complexity Measure,Value
F1,0.9077111
F1v,0.0981487
F2,0.03470132
F3,0.9244622
F4,0.8029015
N1,0.1925963
N2,0.4419768
N3,0.1210605
N4,0.0130065
N5,0.8364182
N6,0.9926697
L1,0.05031898
L2,0.06353177
L3,0.03001501
D1,0.009004502
D2,0.007003502
D3,0.7777778
B1,1.805174e-07
B2,5.005003e-07
G1,0.8800306
G2,0.4007587
G3,0.7904922
