Complexity Measure,Value
F1,0.924748436
F1v,0.11761255
F2,0.023439771
F3,0.818791946
F4,0.33557047
N1,0.315436242
N2,0.455240914
N3,0.197986577
N4,0.026845638
N5,0.899328859
N6,0.980034683
L1,0.058779949
L2,0.067114094
L3,0.036912752
D1,0.05704698
D2,0.043624161
D3,0.764705882
B1,0.009410571
B2,0.025700311
G1,0.880844237
G2,0.358176676
G3,0.781632424
