Complexity Measure,Value
F1,0.92245142
F1v,0.12918535
F2,0.01458699
F3,0.79354839
F4,0.44193548
N1,0.23870968
N2,0.45014396
N3,0.14193548
N4,0.01612903
N5,0.88064516
N6,0.9773257
L1,0.07673489
L2,0.1
L3,0.03870968
D1,0.05483871
D2,0.04193548
D3,0.76470588
B1,0.0173641
B2,0.04682736
G1,0.87904792
G2,0.32899907
G3,0.80331467
