Complexity Measure,Value
F1,0.87703831
F1v,0.18083525
F2,0.34179963
F3,0.95754717
F4,0.91981132
N1,0.3490566
N2,0.38119813
N3,0.25943396
N4,0.02358491
N5,0.42924528
N6,0.95934941
L1,0.11232471
L2,0.14622642
L3,0.08962264
D1,0.05660377
D2,0.01415094
D3,0.25
B1,0.02583445
B2,0.06875215
G1,0.86135205
G2,0.43822944
G3,0.84104844
