Complexity Measure,Value
F1,0.889594375
F1v,0.190425796
F2,0.2061437
F3,0.98349835
F4,0.943894389
N1,0.369636964
N2,0.395627767
N3,0.234323432
N4,0.02640264
N5,0.485148515
N6,0.971713013
L1,0.115949817
L2,0.168316832
L3,0.122112211
D1,0.04290429
D2,0.00990099
D3,0.230769231
B1,0.004916241
B2,0.013523162
G1,0.865211024
G2,0.442481406
G3,0.808020905
