Complexity Measure,Value
F1,0.89618038
F1v,0.229017276
F2,0.15577378
F3,0.95631068
F4,0.893203883
N1,0.422330097
N2,0.429253016
N3,0.286407767
N4,0.029126214
N5,0.558252427
N6,0.971627863
L1,0.127716603
L2,0.184466019
L3,0.121359223
D1,0.058252427
D2,0.014563107
D3,0.25
B1,0.008242976
B2,0.022553588
G1,0.871465783
G2,0.436532083
G3,0.745964259
